,Course Title,Course Code,R1 Points,R2 Points ,EOS Midpoints,Course Level,HEI
0,Music and Instrument Technology,AL605,211,,319,6,Athlone Institute of Technology
1,Pharmacy Technician,AL630,308,,409,6,Athlone Institute of Technology
2,Dental Nursing,AL631,311,,400,6,Athlone Institute of Technology
3,Applied Science,AL632,297,,454,6,Athlone Institute of Technology
4,Business,AL650,AQA,AQA,351,6,Athlone Institute of Technology
5,Culinary Arts,AL660,AQA,AQA,271,6,Athlone Institute of Technology
6,Bar Supervision,AL661,AQA,,279,6,Athlone Institute of Technology
7,Business (Sport and Recreation),AL663,AQA,AQA,311,6,Athlone Institute of Technology
8,Computer Engineering for Network Infrastructure,AL701,207,,382,7,Athlone Institute of Technology
9,Software Design in Artificial Intelligence for Cloud Computing,AL702,220,,381,7,Athlone Institute of Technology
10,Software Design for Virtual Reality and Gaming,AL703,211,,349,7,Athlone Institute of Technology
11,Computer Engineering,AL704,210,,368,7,Athlone Institute of Technology
12,Software Design for Mobile Apps and Connected Devices,AL705,250,,323,7,Athlone Institute of Technology
13,Mechanical Engineering,AL710,243,,340,7,Athlone Institute of Technology
14,Mechanical Engineering and Renewable Energy,AL711,238,,389,7,Athlone Institute of Technology
15,Automation and Robotics,AL712,247,,434,7,Athlone Institute of Technology
16,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),AL713,226,,387,7,Athlone Institute of Technology
17,Music and Sound Engineering,AL718,242,,363,7,Athlone Institute of Technology
18,Civil Engineering,AL721,242,,409,7,Athlone Institute of Technology
19,Biotechnology,AL730,261,,444,7,Athlone Institute of Technology
20,Veterinary Nursing,AL731,421,,498,7,Athlone Institute of Technology
21,Pharmaceutical Sciences (Drug Development and Analysis),AL734,244,,403,7,Athlone Institute of Technology
22,Exercise and Health Science,AL740,251,,418,7,Athlone Institute of Technology
23,Digital Marketing,AL751,241,,398,7,Athlone Institute of Technology
24,Business,AL752,223,,412,7,Athlone Institute of Technology
25,Hotel and Leisure Management,AL761,AQA,AQA,306,7,Athlone Institute of Technology
26,Graphic Design (portfolio),AL763,642,,811,7,Athlone Institute of Technology
27,Early Years Care and Education,AL764,260,,408,7,Athlone Institute of Technology
28,Applied Social Studies in Social Care,AL765,300,,386,7,Athlone Institute of Technology
29,Software Design for Virtual Reality and Gaming,AL801,300,,359,8,Athlone Institute of Technology
30,Software Design in Artificial Intelligence for Cloud Computing,AL802,313,,381,8,Athlone Institute of Technology
31,Software Design for Mobile Apps and Connected Devices,AL803,350,,398,8,Athlone Institute of Technology
32,Computer Engineering for Network Infrastructure,AL805,321,,381,8,Athlone Institute of Technology
33,Quantity Surveying,AL810,328,,377,8,Athlone Institute of Technology
34,Civil Engineering,AL811,,,0,8,Athlone Institute of Technology
35,Mechanical and Polymer Engineering,AL820,327,,398,8,Athlone Institute of Technology
36,General Nursing,AL830,451,444,455,8,Athlone Institute of Technology
37,Mental Health Nursing,AL832,440,431,451,8,Athlone Institute of Technology
38,Pharmacology,AL835,356,,429,8,Athlone Institute of Technology
39,Nutrition and Health Science,AL836,346,,398,8,Athlone Institute of Technology
40,Sports Science with Exercise Physiology,AL837,357,,409,8,Athlone Institute of Technology
41,Biotechnology,AL838,324,,434,8,Athlone Institute of Technology
42,Microbiology,AL839,325,,408,8,Athlone Institute of Technology
43,Pharmaceutical Sciences,AL840,346,,402,8,Athlone Institute of Technology
44,Athletic and Rehabilitation Therapy,AL841,477,476,489,8,Athlone Institute of Technology
45,Bioveterinary Science,AL842,338,,413,8,Athlone Institute of Technology
46,Physical Activity and Health Science,AL843,306,,358,8,Athlone Institute of Technology
47,Culinary Entrepreneurship,AL849,297,,327,8,Athlone Institute of Technology
48,Business,AL850,309,,369,8,Athlone Institute of Technology
49,Business and Law,AL851,302,,357,8,Athlone Institute of Technology
50,Accounting,AL852,336,,466,8,Athlone Institute of Technology
51,Sport Management (with international placement),AL854,300,299,349,8,Athlone Institute of Technology
52,Hospitality Management (with international placement),AL855,309,,378,8,Athlone Institute of Technology
53,Digital Marketing,AL857,304,,398,8,Athlone Institute of Technology
54,International Business,AL859,308,,371,8,Athlone Institute of Technology
55,Social Care Practice,AL860,301,,359,8,Athlone Institute of Technology
56,Animation and Illustration (portfolio),AL861,575,,760,8,Athlone Institute of Technology
57,Graphic and Digital Design (portfolio),AL863,747,,808,8,Athlone Institute of Technology
58,Early Years Care and Education,AL864,306,,366,8,Athlone Institute of Technology
59,Applied Psychology,AL870,484,467,480,8,Athlone Institute of Technology
60,Business,CW006,171,157,281,6,"Institute of Technology, Carlow"
61,Business (options),CW018,307,,381,8,"Institute of Technology, Carlow"
62,Sustainable Farm Management and Agribusiness,CW027,236,222,342,7,"Institute of Technology, Carlow"
63,Early Childhood Education and Care,CW028,260,,378,8,"Institute of Technology, Carlow"
64,Business (options),CW037,279,,429,7,"Institute of Technology, Carlow"
65,Art (portfolio),CW038,#700,,700,8,"Institute of Technology, Carlow"
66,Visual Communications and Design,CW047,241,,372,7,"Institute of Technology, Carlow"
67,Creative Computing and Digital Innovation,CW048,,,0,8,"Institute of Technology, Carlow"
68,Art (portfolio),CW057,#700,,700,7,"Institute of Technology, Carlow"
69,Tourism and Event Management,CW058,292,,356,8,"Institute of Technology, Carlow"
70,Applied Social Studies in Professional Social Care,CW068,250,,306,8,"Institute of Technology, Carlow"
71,Tourism and Event Management,CW077,223,,398,7,"Institute of Technology, Carlow"
72,Sustainable Farm Management and Agribusiness,CW078,270,,363,8,"Institute of Technology, Carlow"
73,Creative Computing and Digital Innovation,CW087,,,0,7,"Institute of Technology, Carlow"
74,Visual Communications and Design,CW088,270,,290,8,"Institute of Technology, Carlow"
75,Physiology and Health Science,CW106,451,,528,6,"Institute of Technology, Carlow"
76,Analytical Science,CW107,261,,466,7,"Institute of Technology, Carlow"
77,Science (options),CW108,266,,361,8,"Institute of Technology, Carlow"
78,Pharmacy Technician Studies,CW116,224,,376,6,"Institute of Technology, Carlow"
79,Biosciences,CW117,215,,445,7,"Institute of Technology, Carlow"
80,Science - Applied Biology or Applied Chemistry,CW126,251,,408,6,"Institute of Technology, Carlow"
81,Brewing and Distilling,CW128,307,,349,8,"Institute of Technology, Carlow"
82,Sport and Exercise Science,CW138,430,423,462,8,"Institute of Technology, Carlow"
83,Strength and Conditioning,CW148,388,,409,8,"Institute of Technology, Carlow"
84,Sport Rehabilitation and Athletic Therapy,CW188,451,,488,8,"Institute of Technology, Carlow"
85,Computing - Applications or Programming,CW206,236,,299,6,"Institute of Technology, Carlow"
86,Software Development,CW207,245,,395,7,"Institute of Technology, Carlow"
87,Computer Games Development,CW208,272,,333,8,"Institute of Technology, Carlow"
88,Information Technology Management,CW217,269,,368,7,"Institute of Technology, Carlow"
89,Cybercrime and IT Security,CW227,220,,360,7,"Institute of Technology, Carlow"
90,Computing in Interactive Digital Art and Design,CW237,227,,378,7,"Institute of Technology, Carlow"
91,Software Development,CW238,295,,387,8,"Institute of Technology, Carlow"
92,Information Technology Management,CW248,293,,338,8,"Institute of Technology, Carlow"
93,Cybercrime and IT Security,CW258,292,,382,8,"Institute of Technology, Carlow"
94,Computing in Interactive Digital Art and Design,CW268,291,,384,8,"Institute of Technology, Carlow"
95,Architectural Technology,CW407,234,,369,7,"Institute of Technology, Carlow"
96,Construction Management with Building Services,CW417,225,205,361,7,"Institute of Technology, Carlow"
97,Civil Engineering,CW427,208,,346,7,"Institute of Technology, Carlow"
98,Construction (options),CW438,260,251,336,8,"Institute of Technology, Carlow"
99,Architectural Technology,CW468,291,283,353,8,"Institute of Technology, Carlow"
100,Civil Engineering,CW478,465,,465,8,"Institute of Technology, Carlow"
101,Aircraft Systems,CW507,293,,408,7,"Institute of Technology, Carlow"
102,Mechanical Engineering,CW517,290,280,400,7,"Institute of Technology, Carlow"
103,Electronic Engineering,CW527,226,,371,7,"Institute of Technology, Carlow"
104,TV and Media Production,CW547,303,,382,7,"Institute of Technology, Carlow"
105,Mechanical Engineering,CW548,330,328,396,8,"Institute of Technology, Carlow"
106,Electronic Systems,CW558,280,,380,8,"Institute of Technology, Carlow"
107,Aerospace Engineering,CW568,371,359,433,8,"Institute of Technology, Carlow"
108,TV and Media Production,CW578,318,,358,8,"Institute of Technology, Carlow"
109,Legal Studies,CW706,174,,357,6,"Institute of Technology, Carlow"
110,Industrial Design,CW707,241,,478,7,"Institute of Technology, Carlow"
111,Law - LLB,CW708,292,,390,8,"Institute of Technology, Carlow"
112,Professional Social Care Practice,CW717,271,262,360,7,"Institute of Technology, Carlow"
113,Product Design Innovation,CW728,246,,370,8,"Institute of Technology, Carlow"
114,Early Childhood Education and Care,CW748,290,,377,8,"Institute of Technology, Carlow"
115,Professional Social Care Practice,CW758,360,358,397,8,"Institute of Technology, Carlow"
116,Sport Coaching and Business Management - GAA (portfolio),CW807,700,,700,7,"Institute of Technology, Carlow"
117,Media and Public Relations,CW808,247,,316,8,"Institute of Technology, Carlow"
118,Sport Coaching and Business Management - Rugby (portfolio),CW817,700,,700,7,"Institute of Technology, Carlow"
119,Sport Coaching and Business Management - Soccer (portfolio),CW827,700,,700,7,"Institute of Technology, Carlow"
120,Digital Marketing with Analytics,CW837,215,,349,7,"Institute of Technology, Carlow"
121,Digital Marketing with Analytics,CW848,269,,336,8,"Institute of Technology, Carlow"
122,"Sports Management and Coaching (options, portfolio)",CW858,700,,700,8,"Institute of Technology, Carlow"
123,Business,CW906,164,,309,6,"Institute of Technology, Carlow"
124,Business (options),CW908,272,,348,8,"Institute of Technology, Carlow"
125,Business (options),CW917,228,,387,7,"Institute of Technology, Carlow"
126,Business with Law,CW926,204,,440,6,"Institute of Technology, Carlow"
127,Accounting,CW936,207,,442,6,"Institute of Technology, Carlow"
128,Business with Law,CW938,270,,382,8,"Institute of Technology, Carlow"
129,Accounting,CW948,319,,454,8,"Institute of Technology, Carlow"
130,Arts and Humanities,PC402,203,113,418,7,"Carlow College, St. Patrick`s"
131,Applied Social Studies - Professional Social Care,PC404,200,100,270,7,"Carlow College, St. Patrick`s"
132,"Social, Political and Community Studies",PC405,263,235,298,8,"Carlow College, St. Patrick`s"
133,Arts and Humanities (fulfils Teaching Council requirements),PC410,262,230,336,8,"Carlow College, St. Patrick`s"
134,English and History (fulfils Teaching Council requirements),PC411,243,224,356,8,"Carlow College, St. Patrick`s"
135,Applied Physics and Instrumentation,CR001,292,,498,7,Cork Institute of Technology
136,Applied Biosciences,CR006,420,,521,7,Cork Institute of Technology
137,Analytical and Pharmaceutical Chemistry,CR007,272,,531,7,Cork Institute of Technology
138,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,CR010,336,,453,7,Cork Institute of Technology
139,Software Development,CR016,351,,445,7,Cork Institute of Technology
140,Business (Common Entry),CR021,253,,451,7,Cork Institute of Technology
141,Business Administration,CR022,172,,348,7,Cork Institute of Technology
142,Social Care Work,CR031,360,,440,7,Cork Institute of Technology
143,Recreation and Leisure Management,CR032,343,,422,7,Cork Institute of Technology
144,Community Development,CR035,133,,337,7,Cork Institute of Technology
145,Tourism Management,CR041,212,180,343,7,Cork Institute of Technology
146,Hospitality Management,CR042,205,,356,7,Cork Institute of Technology
147,Automotive Technology and Management,CR046,227,,368,7,Cork Institute of Technology
148,Civil Engineering,CR051,261,,431,7,Cork Institute of Technology
149,Construction,CR052,270,,368,7,Cork Institute of Technology
150,Interior Architecture,CR053,375,,463,7,Cork Institute of Technology
151,Environmental Engineering,CR055,297,,476,7,Cork Institute of Technology
152,Electronic Engineering,CR061,300,,465,7,Cork Institute of Technology
153,Electrical Engineering,CR062,320,,413,7,Cork Institute of Technology
154,Mechanical Engineering,CR071,263,,475,7,Cork Institute of Technology
155,Biomedical Engineering,CR075,315,,509,7,Cork Institute of Technology
156,Architectural Technology,CR090,308,,475,7,Cork Institute of Technology
157,Nautical Science at National Maritime College of Ireland,CR094,256,,404,7,Cork Institute of Technology
158,Marine Engineering at National Maritime College of Ireland,CR095,234,,441,7,Cork Institute of Technology
159,Chemical and Biopharmaceutical Engineering,CR105,443,,532,8,Cork Institute of Technology
160,Software Development,CR106,431,,476,8,Cork Institute of Technology
161,Mechanical Engineering,CR108,434,,509,8,Cork Institute of Technology
162,Structural Engineering,CR109,396,,465,8,Cork Institute of Technology
163,Automotive Business Management and Technology,CR110,336,,388,8,Cork Institute of Technology
164,Creative Digital Media at CIT Crawford College of Art and Design,CR112,390,,455,8,Cork Institute of Technology
165,Computer Systems,CR116,365,,400,8,Cork Institute of Technology
166,Music at CIT Cork School of Music,CR121,904,904,1141,8,Cork Institute of Technology
167,Popular Music at CIT Cork School of Music,CR125,1028,,1029,8,Cork Institute of Technology
168,Musical Theatre at CIT Cork School of Music,CR130,525,,600,8,Cork Institute of Technology
169,Business Information Systems,CR150,350,,409,8,Cork Institute of Technology
170,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,450,,450,8,Cork Institute of Technology
171,Fine Art at CIT Crawford College of Art and Design,CR220,400,,400,8,Cork Institute of Technology
172,Photography with New Media at CIT Crawford College of Art and Design,CR225,435,,560,8,Cork Institute of Technology
173,Physical Sciences (Common Entry),CR300,260,,565,7,Cork Institute of Technology
174,Physical Sciences (Common Entry),CR305,260,,357,8,Cork Institute of Technology
175,IT Management,CR310,347,,372,8,Cork Institute of Technology
176,Biomedical Science - Offered jointly by CIT and UCC,CR320,590,,601,8,Cork Institute of Technology
177,Pharmaceutical Biotechnology,CR325,466,,488,8,Cork Institute of Technology
178,Nutrition and Health Science,CR333,425,,455,8,Cork Institute of Technology
179,Biological Sciences (Common Entry),CR335,473,,507,8,Cork Institute of Technology
180,Analytical Chemistry with Quality Assurance,CR340,327,,400,8,Cork Institute of Technology
181,Instrument Engineering,CR360,301,,378,8,Cork Institute of Technology
182,Environmental Science and Sustainable Technology,CR365,262,,347,8,Cork Institute of Technology
183,Agri-Biosciences,CR370,368,,423,8,Cork Institute of Technology
184,Accounting,CR400,315,,423,8,Cork Institute of Technology
185,Marketing,CR420,290,,357,8,Cork Institute of Technology
186,International Business with Language,CR425,279,,419,8,Cork Institute of Technology
187,Sport and Exercise Management,CR430,402,,434,8,Cork Institute of Technology
188,Montessori Education,CR440,409,408,431,8,Cork Institute of Technology
189,Engineering (Common Entry),CR500,475,,499,8,Cork Institute of Technology
190,Sustainable Energy Engineering,CR510,320,,393,8,Cork Institute of Technology
191,Biomedical Engineering,CR520,444,,498,8,Cork Institute of Technology
192,Architectural Technology,CR560,375,,436,8,Cork Institute of Technology
193,Interior Architecture,CR565,431,,465,8,Cork Institute of Technology
194,Quantity Surveying,CR570,375,,429,8,Cork Institute of Technology
195,Construction Management,CR572,300,,349,8,Cork Institute of Technology
196,Electrical Engineering,CR580,342,,401,8,Cork Institute of Technology
197,Electronic Engineering,CR590,329,,409,8,Cork Institute of Technology
198,Visual Communications at CIT Crawford College of Art and Design,CR600,280,,510,8,Cork Institute of Technology
199,Early Childhood Education and Care,CR620,397,377,466,7,Cork Institute of Technology
200,Culinary Arts,CR640,220,178,399,7,Cork Institute of Technology
201,Beverage Industry Management,CR650,193,162,367,7,Cork Institute of Technology
202,Culinary Studies,CR655,196,113,320,6,Cork Institute of Technology
203,Hospitality Studies,CR657,171,,261,6,Cork Institute of Technology
204,Tourism Management,CR660,246,,328,8,Cork Institute of Technology
205,Theatre and Drama Studies at CIT Cork School of Music,CR700,609,609,894,8,Cork Institute of Technology
206,Marine Electrotechnology at National Maritime College of Ireland,CR805,229,,445,7,Cork Institute of Technology
207,Information Technology,CR888,300,,391,7,Cork Institute of Technology
208,Home Economics and Business,CR930,518,,542,8,Cork Institute of Technology
209,Arts - 3 years,CK101,300,,400,8,University College Cork (NUI)
210,Social Science,CK102,434,431,462,8,University College Cork (NUI)
211,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,339,,485,8,University College Cork (NUI)
212,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,421,420,488,8,University College Cork (NUI)
213,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,312,,425,8,University College Cork (NUI)
214,Arts International - 4 years,CK108,440,440,487,8,University College Cork (NUI)
215,English - 3 years or 4 years (International Pathway),CK109,367,357,462,8,University College Cork (NUI)
216,World Languages,CK110,488,,522,8,University College Cork (NUI)
217,Early Years and Childhood Studies,CK111,409,403,445,8,University College Cork (NUI)
218,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,371,,533,8,University College Cork (NUI)
219,Criminology - 3 years or 4 years (International Pathway),CK113,464,463,486,8,University College Cork (NUI)
220,Social Science (Youth and Community Work),CK114,#,,,8,University College Cork (NUI)
221,Social Work - Mature Applicants only,CK115,,,,8,University College Cork (NUI)
222,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,347,339,444,8,University College Cork (NUI)
223,Applied Psychology,CK120,544,543,555,8,University College Cork (NUI)
224,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,499,488,522,8,University College Cork (NUI)
225,Government and Political Science,CK122,399,,465,8,University College Cork (NUI)
226,Anthropology,CK123,308,,429,8,University College Cork (NUI)
227,Education - Gaeilge,CK124,473,,522,8,University College Cork (NUI)
228,Sports Studies and Physical Education,CK125,564,555,589,8,University College Cork (NUI)
229,Commerce,CK201,500,499,532,8,University College Cork (NUI)
230,Accounting,CK202,553,543,566,8,University College Cork (NUI)
231,Business Information Systems,CK203,455,452,490,8,University College Cork (NUI)
232,Finance,CK204,566,566,601,8,University College Cork (NUI)
233,Commerce (International) with French,CK205,465,,522,8,University College Cork (NUI)
234,Commerce (International) with German,CK206,466,455,521,8,University College Cork (NUI)
235,Commerce (International) with Italian,CK207,423,418,441,8,University College Cork (NUI)
236,Commerce (International) with Hispanic Studies,CK208,488,486,528,8,University College Cork (NUI)
237,Commerce (International) with Irish,CK209,507,,534,8,University College Cork (NUI)
238,Commerce (International) with Chinese Studies,CK211,385,,477,8,University College Cork (NUI)
239,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,445,444,474,8,University College Cork (NUI)
240,Food Marketing and Entrepreneurship,CK213,466,,498,8,University College Cork (NUI)
241,International Development,CK214,332,,451,8,University College Cork (NUI)
242,Law (Pathways) -  3 or 4 years,CK301,533,532,556,8,University College Cork (NUI)
243,Law and French,CK302,545,,564,8,University College Cork (NUI)
244,Law and Irish,CK304,588,,601,8,University College Cork (NUI)
245,Law and Business,CK307,589,589,601,8,University College Cork (NUI)
246,Computer Science,CK401,503,495,531,8,University College Cork (NUI)
247,Biological and Chemical Sciences,CK402,555,555,577,8,University College Cork (NUI)
248,"Biological, Earth and Environmental Sciences",CK404,500,495,521,8,University College Cork (NUI)
249,Genetics,CK405,543,,554,8,University College Cork (NUI)
250,Chemical Sciences,CK406,532,,554,8,University College Cork (NUI)
251,Mathematical Sciences,CK407,566,,601,8,University College Cork (NUI)
252,Physics and Astrophysics,CK408,566,,601,8,University College Cork (NUI)
253,Industrial Physics - Offered jointly by UCC and CIT,CK409,465,,509,8,University College Cork (NUI)
254,Data Science and Analytics,CK411,531,,577,8,University College Cork (NUI)
255,Agricultural Science,CK412,506,,544,8,University College Cork (NUI)
256,Nutritional Sciences,CK504,555,554,566,8,University College Cork (NUI)
257,Food Science,CK505,463,,489,8,University College Cork (NUI)
258,Engineering,CK600,510,509,555,8,University College Cork (NUI)
259,Architecture - Offered jointly by UCC and CIT,CK606,543,,565,8,University College Cork (NUI)
260,Medicine (Undergraduate Entry - HPAT required),CK701,738,737,743,8,University College Cork (NUI)
261,Dentistry,CK702,625,625,625,8,University College Cork (NUI)
262,Pharmacy,CK703,613,613,625,8,University College Cork (NUI)
263,Occupational Therapy,CK704,601,,602,8,University College Cork (NUI)
264,Speech and Language Therapy,CK705,568,566,589,8,University College Cork (NUI)
265,Public Health Sciences,CK706,500,,532,8,University College Cork (NUI)
266,Medical and Health Sciences,CK707,578,,601,8,University College Cork (NUI)
267,General Nursing,CK710,498,497,519,8,University College Cork (NUI)
268,Children`s and General Nursing (Integrated),CK712,565,,578,8,University College Cork (NUI)
269,Mental Health Nursing,CK720,455,452,467,8,University College Cork (NUI)
270,Intellectual Disability Nursing,CK730,431,,451,8,University College Cork (NUI)
271,Midwifery,CK740,509,,543,8,University College Cork (NUI)
272,Medicine  - Graduate Entry (GAMSAT required),CK791,60,60,61,8,University College Cork (NUI)
273,International Business,AC120,294,294,352,8,American College
274,Liberal Arts,AC137,271,270,334,8,American College
275,Computing and IT,CT125,242,242,334,8,CCT College Dublin
276,Business,CT325,253,253,337,8,CCT College Dublin
277,Education - Primary Teaching,CM001,508,,518,8,Marino Institute of Education
278,Education - Primary Teaching - Gaeltacht Applicants,CM002,462,,506,8,Marino Institute of Education
279,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,CM003,513,,546,8,Marino Institute of Education
280,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),CM004,480,,618,8,Marino Institute of Education
281,Education Studies,CM010,382,327,440,8,Marino Institute of Education
282,Early Childhood Education,CM020,317,,377,8,Marino Institute of Education
283,Higher Certificate in Science in Computing Level 6 (2 years),DS602,120,,403,6,Dorset College
284,Bachelor of Business Level 7 (3 years),DS701,136,,316,7,Dorset College
285,BSc in Computing Level 7 (3 years),DS702,136,,309,7,Dorset College
286,Computing,DB500,234,234,333,8,Dublin Business School
287,Computing (Cloud Computing),DB501,,178,309,8,Dublin Business School
288,Computing (Data Analytics and Big Data),DB502,267,233,351,8,Dublin Business School
289,Computing (Software Development),DB503,,,0,8,Dublin Business School
290,Computing (Web and Mobile Technology),DB504,,,0,8,Dublin Business School
291,Audio Production and Music Project Management,DB510,217,217,317,8,Dublin Business School
292,Business Studies,DB512,243,210,347,8,Dublin Business School
293,Business Studies (Law),DB514,239,225,346,8,Dublin Business School
294,Business Studies (Human Resource Management),DB515,242,217,318,8,Dublin Business School
295,Marketing (Event Management),DB517,233,225,336,8,Dublin Business School
296,Marketing (Digital Media),DB518,307,209,354,8,Dublin Business School
297,Accounting and Finance,DB521,243,228,379,8,Dublin Business School
298,Business (Information Systems),DB524,247,239,327,8,Dublin Business School
299,Marketing (Digital Media and Cloud Computing),DB525,288,288,337,8,Dublin Business School
300,Business (Cloud Computing),DB526,244,244,327,8,Dublin Business School
301,Applied Social Care,DB527,254,219,308,8,Dublin Business School
302,Applied Social Care,DB528,146,104,321,7,Dublin Business School
303,Marketing,DB531,288,176,368,8,Dublin Business School
304,Sound Engineering and Music Production,DB534,139,139,357,6,Dublin Business School
305,Psychology,DB562,244,233,342,8,Dublin Business School
306,Arts,DB563,143,143,414,6,Dublin Business School
307,Social Science,DB566,262,228,319,8,Dublin Business School
308,Film and Creative Media,DB567,245,213,298,8,Dublin Business School
309,Law,DB568,254,228,347,8,Dublin Business School
310,Business (Psychology),DB569,240,240,338,8,Dublin Business School
311,Business Studies,DB571,113,113,462,7,Dublin Business School
312,Business (Accounting),DB572,141,141,464,7,Dublin Business School
313,Business (Marketing),DB573,169,137,367,7,Dublin Business School
314,Business (Information Technology),DB574,173,173,339,7,Dublin Business School
315,Film and Creative Media,DB576,101,101,399,7,Dublin Business School
316,Education - Early Childhood Education,DC001,445,,474,8,Dublin City University
317,Education - Primary Teaching,DC002,518,,543,8,Dublin City University
318,Education - Primary Teaching - Gaeltacht Applicants,DC003,489,,509,8,Dublin City University
319,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,451,,,8,Dublin City University
320,Arts (Joint Honours) - Humanities,DC009,356,,431,8,Dublin City University
321,Post Primary Teacher Education - Religious Education and English,DC010,384,,441,8,Dublin City University
322,Post Primary Teacher Education - Religious Education and History,DC011,409,,455,8,Dublin City University
323,Post Primary Teacher Education - Religious Education and Music,DC012,409,,451,8,Dublin City University
324,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,413,,510,8,Dublin City University
325,BA in Jazz and Contemporary Music Performance (audition),DC014,311,,634,8,Dublin City University
326,Business Studies International,DC110,498,,526,8,Dublin City University
327,Business Studies,DC111,511,,532,8,Dublin City University
328,Global Business (France),DC112,542,,564,8,Dublin City University
329,Global Business (Germany),DC113,484,,529,8,Dublin City University
330,Global Business (Spain),DC114,544,,562,8,Dublin City University
331,Accounting and Finance,DC115,544,,578,8,Dublin City University
332,Global Business (USA),DC116,613,,625,8,Dublin City University
333,Aviation Management / Aviation Management with Pilot Studies,DC117,484,,520,8,Dublin City University
334,Gnó agus Gaeilge / Business and Irish,DC118,368,,419,8,Dublin City University
335,Global Business (Canada),DC119,601,,601,8,Dublin City University
336,Computing for Business,DC120,403,402,440,8,Dublin City University
337,Computer Science,DC121,475,,498,8,Dublin City University
338,Data Science,DC123,501,,542,8,Dublin City University
339,Actuarial Mathematics,DC126,577,,601,8,Dublin City University
340,Common Entry into Actuarial and Financial Mathematics,DC127,541,,566,8,Dublin City University
341,Communication Studies,DC131,421,,479,8,Dublin City University
342,Journalism,DC132,452,,487,8,Dublin City University
343,Multimedia,DC133,435,,473,8,Dublin City University
344,Applied Language and Translation Studies,DC155,427,,476,8,Dublin City University
345,Analytical Science,DC161,498,,521,8,Dublin City University
346,Chemical and Pharmaceutical Sciences,DC162,531,,543,8,Dublin City University
347,Chemical Sciences General Entry (Undenominated Entry),DC163,466,,510,8,Dublin City University
348,Environmental Science and Technology,DC166,423,,466,8,Dublin City University
349,Genetics and Cell Biology,DC168,543,,555,8,Dublin City University
350,Physics General Entry (options),DC175,400,,479,8,Dublin City University
351,Biological Sciences General Entry (Undenominated Entry),DC180,530,,543,8,Dublin City University
352,Biotechnology,DC181,530,,544,8,Dublin City University
353,Electronic and Computer Engineering (with choice of four majors),DC190,488,,532,8,Dublin City University
354,Mechatronic Engineering,DC193,490,,532,8,Dublin City University
355,Sustainable Systems and Energy,DC194,476,,509,8,Dublin City University
356,Mechanical and Manufacturing Engineering,DC195,500,,521,8,Dublin City University
357,Biomedical Engineering,DC197,510,,543,8,Dublin City University
358,Common Entry into Engineering (Undenominated Entry),DC200,511,510,543,8,Dublin City University
359,Sport Science and Health,DC202,511,,532,8,Dublin City University
360,Science Education,DC203,462,,509,8,Dublin City University
361,Athletic Therapy and Training,DC204,558,,578,8,Dublin City University
362,Physical Education with Biology,DC205,565,,578,8,Dublin City University
363,Physical Education with Mathematics,DC206,521,,544,8,Dublin City University
364,Psychology and Mathematics,DC207,521,,543,8,Dublin City University
365,Psychology,DC208,565,,577,8,Dublin City University
366,Health and Society,DC209,477,,509,8,Dublin City University
367,Psychology and Disruptive Technologies,DC210,506,,532,8,Dublin City University
368,General Nursing,DC215,456,,485,8,Dublin City University
369,Mental Health Nursing,DC216,420,,440,8,Dublin City University
370,Intellectual Disability Nursing,DC217,382,,402,8,Dublin City University
371,Children`s and General Nursing (Integrated),DC218,521,,554,8,Dublin City University
372,"Economics, Politics and Law",DC230,431,,468,8,Dublin City University
373,International Relations,DC231,398,,458,8,Dublin City University
374,Law and Society (BCL),DC232,469,,511,8,Dublin City University
375,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,302,,370,8,Dublin City University
376,Social Sciences and Cultural Innovation,DC238,387,,440,8,Dublin City University
377,"Marketing, Innovation and Technology",DC240,499,,532,8,Dublin City University
378,Digital Business and Innovation,DC241,509,,533,8,Dublin City University
379,Arts (Joint Honours) - Media Studies,DC291,350,,440,8,Dublin City University
380,Arts (Joint Honours) - Law,DC292,400,,440,8,Dublin City University
381,Arts (Joint Honours) - International Languages,DC293,379,,467,8,Dublin City University
382,Climate and Environmental Sustainability,DC294,475,,489,8,Dublin City University
383,Arts (Joint Honours) - Politics,DC295,349,,409,8,Dublin City University
384,Business - Applied Entrepreneurship,DL701,162,162,339,7,"Dun Laoghaire Institute of Art, Design and Technology"
